Nom du Produit,Marque,Catégorie,Énergie (kcal),Matières grasses (g),Protéines (g),Sucres (g),Empreinte Carbone (CO₂ g),Lien Produit
Perly,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Yaourts, Fromages à la crème, Fromages-frais-sucres",97,3,8,9.4,2.1073558009,https://world.openfoodfacts.org/product/6111242100992/perly-jaouda
Fromage blanc nature,MILKY FOOD PROFESSIONAL,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Plain fermented dairy desserts, fr:Fromages blancs, fr:Fromages blancs natures, en:cheeses",80.6,12,7.3,0,1.8198366609,https://world.openfoodfacts.org/product/6111246721261/fromage-blanc-nature-milky-food-professional
Jben,Jaouda,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",235,21,8,0,4.9254144209,https://world.openfoodfacts.org/product/6111242106949/jben-jaouda
Perly nature,Jaouda,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Plain fermented dairy desserts, fr:Fromages blancs, fr:Fromages blancs natures, en:yogurts",101,6,7.6,0,1.8198366609,https://world.openfoodfacts.org/product/6111242100985/perly-nature-jaouda
70% Cacao noir intense,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Fromages",566,41,9.5,30,16.878582384,https://world.openfoodfacts.org/product/3046920022651/70-cacao-noir-intense-lindt
Lait,Jaouda,"Dairies, Meals, Milks, Soups, Moroccan soups, en:semi-skimmed-milks",45,1.5,3.1,4.9,1.306214873,https://world.openfoodfacts.org/product/6111266962187/lait-jaouda
Lait entier UHT,Jaouda,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache, Lait entier UHT",58,3,3,0,1.486686273,https://world.openfoodfacts.org/product/6111242101180/lait-entier-uht-jaouda
Lait Frais,centrale danone,"Dairies, Milks, Fresh milks, en:semi-skimmed-milks",45,1.5,3,0,1.306214873,https://world.openfoodfacts.org/product/6111032009665/lait-frais-centrale-danone
Yaourt nature,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures",161,7.5,7.6,0,2.1073558009,https://world.openfoodfacts.org/product/6111242100206/yaourt-nature-jaouda
Nescafé Classic,Nestlé,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble",N/A,N/A,N/A,N/A,0.49800610426,https://world.openfoodfacts.org/product/6111018903161/nescafe-classic-nestle
Prince Goût Chocolat,LuMondelez,"Snacks,Sweet snacks,Cocoa and its products",467,17,6.3,32,N/A,https://world.openfoodfacts.org/product/7622210449283/prince-chocolate-cookies-lumondelez
Nutella,Ferrero,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes, Pâtes à tartiner aux noisettes et au cacao, en:cocoa-and-hazelnuts-spreads",539,30.9,6.3,56.3,7.564940134,https://world.openfoodfacts.org/product/3017620425035/nutella-ferrero
Excellence 85% Cacao Rich Dark,Lindt,"Lanches comida,Lanches doces,Cacau e derivados,Chocolates,Chocolates amargos,en:Dark chocolate bar with more than 70% cocoa,en:Extra fine dark chocolates",584,46,12.5,14,16.878582384,https://world.openfoodfacts.org/product/3046920028363/excellence-85-cacao-rich-dark-lindt
Organic 70% Dark Chocolate Bar,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Barres,Chocolats,Chocolats noirs,Barres chocolatées",104.4,7.56,1.638,5.22,16.878582384,https://world.openfoodfacts.org/product/7622210578464/organic-70-dark-chocolate-bar-green-black-s
70% Cacao noir intense,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Fromages",566,41,9.5,30,16.878582384,https://world.openfoodfacts.org/product/3046920022651/70-cacao-noir-intense-lindt
Eau minérale naturelle,"Sidi Ali,Les Eaux Minérales d'oulmès","Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans sucre ajouté,Eaux minérales naturelles",0,0,0,0,N/A,https://world.openfoodfacts.org/product/6111035000058/sidi-ali-mineral-water
Ain Saïss,Danone,"Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Boissons sans sucre ajouté",0,0,0,0,N/A,https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone
Nutella,Ferrero,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes, Pâtes à tartiner aux noisettes et au cacao, en:cocoa-and-hazelnuts-spreads",539,30.9,6.3,56.3,7.564940134,https://world.openfoodfacts.org/product/3017620425035/nutella-ferrero
N/A,"TONIK, Bimo","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Édulcorants,Farines de blé,Sucres,50,7,Gaufrettes-fourrees-au-cacao,Huile-vegetale-non-hydrogenee-palme,Permets-de-lactoserum,Saveur-vanilline,tonik",116,5.1,1,9.2,0.6123659626,https://world.openfoodfacts.org/product/6111031005064/tonik
Sésame,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",467,18,10,17,2.856230424,https://world.openfoodfacts.org/product/3175680011480/gerble-sesame-cookie-230g-8-2oz
Fourrés Chocolat Noir,Bjorg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat noir",481,20,7.6,27,5.848293084,https://world.openfoodfacts.org/product/3229820100234/filled-dark-chocolate-bjorg
Pur beurre de cacahuète,"Jardin Bio,Léa Nature","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Petit-déjeuners,Produits à tartiner,Fruits à coques et dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Purées d'oléagineux,Beurres de légumineuses,Pâtes à tartiner,Beurres de fruits à coques,Beurres de cacahuètes",625,50,29,5.1,3.1918859,https://world.openfoodfacts.org/product/3760020507350/pur-beurre-de-cacahuete-jardin-bio
Be Nuts ! - Pâte à tartiner Cacahuète,Andros,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Beurres de cacahuètes",614,49,21,15,3.1918859,https://world.openfoodfacts.org/product/3608580124047/be-nuts-pate-a-tartiner-cacahuete-andros
Le Beurre Tendre Doux,"Elle & Vire,Savencia","Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Unsalted butters, Sweet cream butters, Butter-82-fat-unsalted-easy-to-spread, fr:Beurres tendres",744,82,0.7,0.8,7.7925481019,https://world.openfoodfacts.org/product/3451790988677/le-beurre-tendre-doux-elle-vire
Dark Chocolate 70%,"Lidl,J.D. Gross","Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs",565,41.5,8.4,27.2,16.878582384,https://world.openfoodfacts.org/product/20095291/dark-chocolate-70-lidl
N/A,"TONIK, Bimo","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Édulcorants,Farines de blé,Sucres,50,7,Gaufrettes-fourrees-au-cacao,Huile-vegetale-non-hydrogenee-palme,Permets-de-lactoserum,Saveur-vanilline,tonik",116,5.1,1,9.2,0.6123659626,https://world.openfoodfacts.org/product/6111031005064/tonik
Tartine croustillante Authentique,"Wasa,Barilla","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Pains croustillants complets",336,1.5,9,1,N/A,https://world.openfoodfacts.org/product/7300400481595/original-crispy-rye-bread-wasa
Fourrés Chocolat Noir,Bjorg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat noir",481,20,7.6,27,5.848293084,https://world.openfoodfacts.org/product/3229820100234/filled-dark-chocolate-bjorg
