Equipment_ID,Equipment_Name,Category,Maintenance_Cycle,Location,Manufacturer,CO2_Emissions_kg,Energy_Consumption_kWh,Energy_Type,Maintenance_Frequency,Estimated_Lifetime_Years
E6897,Robot Emballeur,Mélange,Mensuel,Atelier Principal,PackEquip SARL,580.74,1289.84,Solaire,Bimensuel,19
E1542,Robot Emballeur,Embouteillage,Mensuel,Usine Gabès,AgroTech Inc.,637.41,4688.39,Électrique,Bimensuel,18
E6519,Convoyeur,Conditionnement,Bimensuel,Usine Tunis,PackEquip SARL,748.73,1929.58,Gaz Naturel,Bimensuel,23
E1321,Robot Emballeur,Conditionnement,Annuel,Usine Gabès,PackEquip SARL,293.16,3044.04,Solaire,Trimestriel,19
E2030,Robot Emballeur,Conditionnement,Mensuel,Usine Cenk,PackEquip SARL,915.8,4972.89,Gaz Naturel,Trimestriel,8
E8342,Système de Pesée,Mélange,Bimensuel,Atelier Principal,CleanTech Solutions,813.66,4463.77,Fioul,Mensuel,16
E9228,Mélangeur Industriel,Embouteillage,Mensuel,Usine Cenk,RoboPack Inc.,201.72,2112.88,Fioul,Annuel,25
E7788,Convoyeur,Embouteillage,Mensuel,Usine Sousse,PackEquip SARL,753.01,2240.25,Gaz Naturel,Mensuel,12
E3557,Machine de Conditionnement,Conditionnement,Mensuel,Usine Gabès,AgroTech Inc.,753.11,3238.08,Solaire,Annuel,12
E1004,Mélangeur Industriel,Mélange,Trimestriel,Usine Cenk,AgroTeq,811.81,1746.08,Solaire,Trimestriel,25
E6016,Robot Emballeur,Nettoyage,Bimensuel,Usine Cenk,AgroTeq,215.36,4227.53,Solaire,Annuel,12
E9331,Système de Pesée,Nettoyage,Bimensuel,Usine Cenk,RoboPack Inc.,207.81,4972.06,Fioul,Annuel,10
E1715,Système de Pesée,Embouteillage,Mensuel,Usine Tunis,CleanTech Solutions,859.44,4898.75,Fioul,Mensuel,20
E8489,Mélangeur Industriel,Mélange,Trimestriel,Usine Tunis,RoboPack Inc.,928.29,3207.76,Solaire,Bimensuel,21
E9136,Compresseur d'Air,Embouteillage,Trimestriel,Usine Tunis,PackEquip SARL,417.02,4576.0,Solaire,Mensuel,20
E9921,Compresseur d'Air,Embouteillage,Annuel,Usine Sousse,PackEquip SARL,416.4,3052.49,Électrique,Mensuel,22
E2050,Compresseur d'Air,Stockage,Annuel,Atelier Principal,PackEquip SARL,351.33,1370.08,Gaz Naturel,Mensuel,23
E6911,Système de Pesée,Embouteillage,Bimensuel,Usine Sousse,RoboPack Inc.,978.98,3699.27,Électrique,Bimensuel,6
E4994,Chauffe-Eau Industriel,Stockage,Annuel,Usine Sousse,CleanTech Solutions,152.74,1460.18,Fioul,Bimensuel,16
E8113,Compresseur d'Air,Embouteillage,Annuel,Atelier Principal,PackEquip SARL,103.92,4645.39,Solaire,Mensuel,25
E3172,Cuve de Stockage,Conditionnement,Mensuel,Usine Sousse,AgroTeq,848.01,1817.2,Fioul,Bimensuel,8
E6947,Cuve de Stockage,Stockage,Bimensuel,Usine Gabès,AgroTeq,670.86,3698.35,Électrique,Mensuel,6
E2460,Compresseur d'Air,Stockage,Bimensuel,Usine Sousse,CleanTech Solutions,336.97,4864.66,Gaz Naturel,Trimestriel,21
E6432,Cuve de Stockage,Conditionnement,Mensuel,Usine Tunis,RoboPack Inc.,659.31,1568.87,Solaire,Trimestriel,5
E1457,Système de Pesée,Nettoyage,Annuel,Usine Sousse,PackEquip SARL,206.4,4146.7,Gaz Naturel,Mensuel,11
E5923,Système de Pesée,Mélange,Annuel,Usine Sousse,AgroTeq,599.54,2104.96,Solaire,Mensuel,19
E4915,Machine de Conditionnement,Stockage,Annuel,Usine Gabès,AgroTeq,688.13,2141.05,Gaz Naturel,Bimensuel,24
E3482,Chauffe-Eau Industriel,Mélange,Bimensuel,Usine Cenk,PackEquip SARL,862.39,2054.82,Gaz Naturel,Bimensuel,13
E2496,Système de Pesée,Stockage,Annuel,Atelier Principal,CleanTech Solutions,102.03,4026.52,Solaire,Mensuel,17
E5925,Compresseur d'Air,Nettoyage,Mensuel,Usine Cenk,RoboPack Inc.,768.81,4677.27,Fioul,Trimestriel,23
E9823,Compresseur d'Air,Mélange,Bimensuel,Atelier Principal,PackEquip SARL,472.0,4848.25,Fioul,Bimensuel,22
E5267,Mélangeur Industriel,Stockage,Annuel,Usine Cenk,AgroTech Inc.,557.09,3229.64,Gaz Naturel,Bimensuel,12
E6471,Système de Pesée,Embouteillage,Annuel,Usine Tunis,CleanTech Solutions,259.66,2459.28,Fioul,Trimestriel,15
E8914,Compresseur d'Air,Stockage,Trimestriel,Usine Tunis,AgroTech Inc.,830.42,4002.28,Gaz Naturel,Mensuel,15
E4820,Convoyeur,Embouteillage,Trimestriel,Usine Gabès,AgroTeq,493.39,1087.61,Électrique,Annuel,20
E8922,Compresseur d'Air,Stockage,Mensuel,Atelier Principal,AgroTech Inc.,768.03,2835.92,Gaz Naturel,Annuel,7
E3253,Système de Pesée,Conditionnement,Bimensuel,Usine Gabès,AgroTech Inc.,365.99,2285.82,Électrique,Annuel,22
E1539,Compresseur d'Air,Conditionnement,Annuel,Usine Gabès,AgroTech Inc.,854.17,4620.4,Solaire,Annuel,18
E3442,Compresseur d'Air,Nettoyage,Bimensuel,Usine Sousse,CleanTech Solutions,543.06,3744.71,Fioul,Mensuel,16
E8211,Machine de Conditionnement,Stockage,Annuel,Usine Tunis,CleanTech Solutions,636.66,2337.39,Solaire,Bimensuel,25
E5127,Mélangeur Industriel,Mélange,Bimensuel,Usine Sousse,RoboPack Inc.,696.07,2512.38,Solaire,Bimensuel,19
E5525,Chauffe-Eau Industriel,Nettoyage,Mensuel,Usine Gabès,PackEquip SARL,288.82,3121.86,Gaz Naturel,Trimestriel,24
E7145,Machine de Conditionnement,Nettoyage,Trimestriel,Usine Sousse,CleanTech Solutions,376.84,1772.28,Électrique,Trimestriel,16
E5246,Robot Emballeur,Nettoyage,Trimestriel,Usine Gabès,PackEquip SARL,757.57,1076.15,Solaire,Trimestriel,5
E7039,Convoyeur,Embouteillage,Annuel,Usine Sousse,RoboPack Inc.,244.71,1750.8,Solaire,Trimestriel,14
E3240,Mélangeur Industriel,Nettoyage,Trimestriel,Usine Sousse,CleanTech Solutions,864.37,1011.1,Gaz Naturel,Annuel,11
E5273,Chauffe-Eau Industriel,Mélange,Mensuel,Usine Tunis,RoboPack Inc.,552.5,3904.6,Gaz Naturel,Trimestriel,6
E1163,Cuve de Stockage,Mélange,Mensuel,Usine Cenk,CleanTech Solutions,221.07,3136.88,Solaire,Mensuel,23
E3825,Machine de Conditionnement,Embouteillage,Trimestriel,Usine Gabès,PackEquip SARL,369.65,4774.61,Fioul,Trimestriel,25
E6863,Mélangeur Industriel,Nettoyage,Mensuel,Usine Gabès,AgroTech Inc.,463.83,3249.89,Gaz Naturel,Mensuel,9
E4097,Cuve de Stockage,Embouteillage,Annuel,Usine Cenk,RoboPack Inc.,972.74,3231.47,Électrique,Annuel,24
E2789,Chauffe-Eau Industriel,Nettoyage,Mensuel,Usine Tunis,AgroTech Inc.,316.72,4500.86,Gaz Naturel,Mensuel,13
E9246,Compresseur d'Air,Stockage,Annuel,Usine Gabès,AgroTech Inc.,846.64,4260.26,Gaz Naturel,Annuel,6
E2647,Convoyeur,Nettoyage,Trimestriel,Usine Sousse,AgroTech Inc.,181.99,4602.04,Fioul,Trimestriel,22
E7296,Cuve de Stockage,Stockage,Bimensuel,Usine Cenk,AgroTech Inc.,167.51,4210.04,Gaz Naturel,Mensuel,8
E2799,Machine de Conditionnement,Mélange,Mensuel,Usine Gabès,RoboPack Inc.,224.8,3992.3,Électrique,Annuel,15
E5655,Robot Emballeur,Mélange,Bimensuel,Usine Tunis,AgroTeq,571.01,3367.31,Gaz Naturel,Trimestriel,11
E1420,Système de Pesée,Stockage,Bimensuel,Usine Cenk,AgroTech Inc.,305.25,4939.72,Solaire,Trimestriel,15
E7390,Chauffe-Eau Industriel,Conditionnement,Mensuel,Usine Tunis,PackEquip SARL,879.22,2632.9,Gaz Naturel,Trimestriel,25
E2067,Convoyeur,Mélange,Bimensuel,Usine Tunis,AgroTeq,280.6,2886.71,Électrique,Mensuel,15
E7272,Chauffe-Eau Industriel,Nettoyage,Trimestriel,Atelier Principal,CleanTech Solutions,799.45,3017.85,Électrique,Trimestriel,6
E1972,Système de Pesée,Conditionnement,Annuel,Usine Tunis,RoboPack Inc.,385.2,4336.1,Solaire,Bimensuel,8
E8120,Chauffe-Eau Industriel,Conditionnement,Mensuel,Usine Sousse,PackEquip SARL,498.83,3193.67,Solaire,Mensuel,8
E3356,Robot Emballeur,Embouteillage,Trimestriel,Atelier Principal,PackEquip SARL,331.67,4660.72,Électrique,Trimestriel,10
E5336,Convoyeur,Conditionnement,Bimensuel,Usine Cenk,CleanTech Solutions,858.15,2208.45,Fioul,Bimensuel,25
E1926,Système de Pesée,Stockage,Bimensuel,Usine Tunis,PackEquip SARL,775.82,3602.4,Solaire,Trimestriel,22
E8757,Compresseur d'Air,Conditionnement,Mensuel,Usine Cenk,AgroTech Inc.,715.79,2613.89,Solaire,Annuel,9
E4800,Système de Pesée,Conditionnement,Bimensuel,Usine Tunis,RoboPack Inc.,732.2,4028.18,Gaz Naturel,Bimensuel,25
E6220,Machine de Conditionnement,Stockage,Mensuel,Usine Tunis,AgroTeq,915.95,4440.33,Électrique,Annuel,18
E8095,Cuve de Stockage,Nettoyage,Mensuel,Atelier Principal,AgroTeq,490.35,3382.71,Solaire,Mensuel,15
E1189,Machine de Conditionnement,Mélange,Mensuel,Usine Cenk,CleanTech Solutions,983.51,1388.13,Solaire,Annuel,17
E4227,Cuve de Stockage,Nettoyage,Trimestriel,Atelier Principal,AgroTech Inc.,981.44,1823.41,Solaire,Bimensuel,10
E8487,Cuve de Stockage,Stockage,Mensuel,Usine Gabès,RoboPack Inc.,175.06,4664.46,Fioul,Annuel,5
E1618,Mélangeur Industriel,Embouteillage,Annuel,Usine Cenk,CleanTech Solutions,539.81,3153.24,Électrique,Bimensuel,9
E5648,Robot Emballeur,Conditionnement,Bimensuel,Atelier Principal,CleanTech Solutions,573.65,2829.31,Solaire,Trimestriel,21
E2598,Convoyeur,Nettoyage,Annuel,Atelier Principal,RoboPack Inc.,225.41,3753.03,Fioul,Annuel,5
E2250,Système de Pesée,Nettoyage,Mensuel,Usine Cenk,PackEquip SARL,812.16,2508.76,Solaire,Annuel,7
E7840,Convoyeur,Nettoyage,Bimensuel,Atelier Principal,RoboPack Inc.,153.22,4229.91,Fioul,Mensuel,8
E9968,Machine de Conditionnement,Nettoyage,Mensuel,Usine Cenk,PackEquip SARL,274.01,1785.66,Gaz Naturel,Bimensuel,6
E4720,Compresseur d'Air,Stockage,Bimensuel,Usine Tunis,PackEquip SARL,965.48,3645.63,Solaire,Annuel,16
E8185,Convoyeur,Stockage,Mensuel,Atelier Principal,AgroTech Inc.,984.21,1134.84,Gaz Naturel,Annuel,17
E9345,Système de Pesée,Stockage,Trimestriel,Usine Gabès,RoboPack Inc.,245.18,4703.47,Fioul,Trimestriel,24
E6624,Robot Emballeur,Conditionnement,Trimestriel,Usine Sousse,PackEquip SARL,599.67,2412.3,Solaire,Trimestriel,17
E5366,Convoyeur,Mélange,Bimensuel,Usine Cenk,PackEquip SARL,908.82,3270.89,Gaz Naturel,Trimestriel,5
E7110,Convoyeur,Mélange,Bimensuel,Usine Tunis,AgroTech Inc.,664.4,4397.12,Solaire,Annuel,10
E2834,Chauffe-Eau Industriel,Embouteillage,Trimestriel,Atelier Principal,RoboPack Inc.,349.37,3872.97,Solaire,Bimensuel,24
E2739,Système de Pesée,Embouteillage,Annuel,Usine Tunis,CleanTech Solutions,979.72,3351.64,Solaire,Bimensuel,5
E7953,Cuve de Stockage,Stockage,Annuel,Usine Sousse,RoboPack Inc.,974.08,1220.02,Fioul,Trimestriel,23
E6450,Compresseur d'Air,Stockage,Bimensuel,Atelier Principal,AgroTeq,630.05,2108.6,Fioul,Annuel,11
E6268,Mélangeur Industriel,Embouteillage,Bimensuel,Usine Gabès,AgroTech Inc.,655.35,3240.45,Électrique,Bimensuel,9
E2942,Robot Emballeur,Nettoyage,Mensuel,Usine Tunis,CleanTech Solutions,285.16,3506.15,Électrique,Bimensuel,19
E4566,Convoyeur,Nettoyage,Bimensuel,Usine Cenk,RoboPack Inc.,278.97,3492.47,Électrique,Trimestriel,8
E7302,Cuve de Stockage,Conditionnement,Bimensuel,Usine Sousse,RoboPack Inc.,755.39,3375.03,Fioul,Annuel,8
E5756,Mélangeur Industriel,Conditionnement,Mensuel,Usine Gabès,AgroTech Inc.,740.53,4370.58,Fioul,Annuel,11
E8049,Mélangeur Industriel,Embouteillage,Mensuel,Usine Tunis,PackEquip SARL,627.9,3194.74,Gaz Naturel,Trimestriel,20
E7588,Compresseur d'Air,Stockage,Annuel,Usine Cenk,CleanTech Solutions,686.33,2474.89,Gaz Naturel,Annuel,20
E2265,Mélangeur Industriel,Mélange,Mensuel,Usine Gabès,AgroTech Inc.,448.26,1534.68,Électrique,Bimensuel,12
E2877,Chauffe-Eau Industriel,Conditionnement,Trimestriel,Usine Cenk,AgroTeq,241.64,4496.92,Solaire,Mensuel,23
E4077,Chauffe-Eau Industriel,Embouteillage,Trimestriel,Usine Gabès,AgroTeq,276.07,1109.44,Électrique,Trimestriel,8
E6803,Compresseur d'Air,Embouteillage,Mensuel,Usine Tunis,AgroTeq,410.94,1221.53,Gaz Naturel,Annuel,19
E1748,Robot Emballeur,Stockage,Annuel,Usine Cenk,CleanTech Solutions,351.34,1986.41,Gaz Naturel,Annuel,24
E8399,Robot Emballeur,Conditionnement,Trimestriel,Atelier Principal,CleanTech Solutions,184.85,1691.47,Solaire,Bimensuel,13
E8477,Mélangeur Industriel,Stockage,Annuel,Atelier Principal,CleanTech Solutions,885.74,4841.38,Fioul,Bimensuel,19
E3335,Chauffe-Eau Industriel,Stockage,Mensuel,Usine Gabès,CleanTech Solutions,289.76,3839.05,Électrique,Trimestriel,15
E6415,Convoyeur,Stockage,Bimensuel,Atelier Principal,RoboPack Inc.,856.43,1758.41,Solaire,Mensuel,12
E8766,Compresseur d'Air,Conditionnement,Bimensuel,Usine Sousse,CleanTech Solutions,243.36,3295.73,Gaz Naturel,Mensuel,6
E2150,Mélangeur Industriel,Conditionnement,Annuel,Atelier Principal,CleanTech Solutions,646.29,4597.33,Fioul,Trimestriel,11
E9452,Mélangeur Industriel,Embouteillage,Trimestriel,Usine Tunis,CleanTech Solutions,716.56,4683.32,Solaire,Annuel,14
E6736,Convoyeur,Nettoyage,Trimestriel,Usine Cenk,RoboPack Inc.,383.54,3319.2,Fioul,Bimensuel,16
E4939,Robot Emballeur,Mélange,Mensuel,Atelier Principal,PackEquip SARL,717.33,3818.5,Électrique,Bimensuel,14
E8371,Cuve de Stockage,Mélange,Annuel,Usine Sousse,PackEquip SARL,298.71,2143.89,Électrique,Trimestriel,25
E6812,Mélangeur Industriel,Stockage,Mensuel,Usine Cenk,PackEquip SARL,855.25,1426.18,Solaire,Mensuel,22
E7553,Mélangeur Industriel,Embouteillage,Mensuel,Usine Cenk,PackEquip SARL,713.15,4851.44,Solaire,Mensuel,18
E2126,Convoyeur,Conditionnement,Annuel,Usine Sousse,AgroTeq,567.48,4019.98,Gaz Naturel,Annuel,12
E5006,Système de Pesée,Nettoyage,Trimestriel,Atelier Principal,AgroTech Inc.,721.76,2296.28,Fioul,Annuel,5
E3808,Chauffe-Eau Industriel,Nettoyage,Trimestriel,Atelier Principal,PackEquip SARL,870.8,2441.29,Électrique,Bimensuel,7
E1872,Cuve de Stockage,Embouteillage,Trimestriel,Usine Cenk,AgroTech Inc.,595.46,4942.76,Fioul,Mensuel,17
E3578,Cuve de Stockage,Nettoyage,Trimestriel,Usine Tunis,CleanTech Solutions,319.09,2022.04,Solaire,Annuel,20
E6507,Système de Pesée,Mélange,Bimensuel,Usine Sousse,CleanTech Solutions,281.91,4862.18,Électrique,Bimensuel,13
E7298,Mélangeur Industriel,Embouteillage,Trimestriel,Atelier Principal,PackEquip SARL,245.38,2728.77,Gaz Naturel,Mensuel,22
E5430,Mélangeur Industriel,Mélange,Trimestriel,Usine Tunis,PackEquip SARL,484.73,4479.41,Électrique,Trimestriel,25
E4510,Convoyeur,Stockage,Trimestriel,Usine Gabès,RoboPack Inc.,610.35,1252.98,Fioul,Bimensuel,10
E8246,Compresseur d'Air,Embouteillage,Bimensuel,Usine Gabès,AgroTech Inc.,233.48,4341.91,Solaire,Trimestriel,23
E2488,Système de Pesée,Nettoyage,Annuel,Atelier Principal,AgroTech Inc.,109.95,4098.28,Solaire,Trimestriel,21
E8555,Compresseur d'Air,Nettoyage,Annuel,Usine Cenk,PackEquip SARL,946.97,3835.98,Solaire,Annuel,6
E5121,Robot Emballeur,Conditionnement,Annuel,Usine Sousse,CleanTech Solutions,210.08,2242.15,Solaire,Annuel,24
E6432,Convoyeur,Conditionnement,Mensuel,Usine Sousse,AgroTeq,423.64,2061.05,Fioul,Bimensuel,9
E4734,Machine de Conditionnement,Nettoyage,Trimestriel,Usine Cenk,CleanTech Solutions,990.86,1242.77,Fioul,Mensuel,6
E6341,Convoyeur,Mélange,Mensuel,Atelier Principal,CleanTech Solutions,742.23,4377.82,Solaire,Mensuel,13
E3040,Machine de Conditionnement,Embouteillage,Trimestriel,Atelier Principal,AgroTech Inc.,562.28,2826.79,Solaire,Bimensuel,18
E7629,Système de Pesée,Embouteillage,Trimestriel,Usine Tunis,RoboPack Inc.,422.23,4067.68,Gaz Naturel,Trimestriel,13
E9391,Machine de Conditionnement,Stockage,Bimensuel,Usine Cenk,AgroTeq,542.31,2943.08,Solaire,Annuel,25
E7729,Chauffe-Eau Industriel,Embouteillage,Trimestriel,Usine Gabès,PackEquip SARL,606.7,1243.85,Électrique,Annuel,25
E1252,Compresseur d'Air,Conditionnement,Mensuel,Usine Sousse,CleanTech Solutions,336.47,1635.85,Gaz Naturel,Mensuel,9
E1429,Robot Emballeur,Nettoyage,Bimensuel,Usine Sousse,CleanTech Solutions,892.09,3063.32,Gaz Naturel,Trimestriel,6
E3140,Système de Pesée,Nettoyage,Trimestriel,Usine Cenk,AgroTech Inc.,404.76,4359.38,Gaz Naturel,Trimestriel,9
E5464,Convoyeur,Conditionnement,Annuel,Usine Cenk,CleanTech Solutions,398.64,2164.49,Solaire,Bimensuel,5
