Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Cost_Per_Unit_Carbon|Environmental_Impact_Score|Recyclable_Status|Stock_Alert_Level|Supply_Reliability_Index
M356|Super-Lait liquide|Produit laitier|170.38|159|SUPPLIER_73|32485.53|0.54|564.0|Oui|Faible|8.5
M050|Bio-Sirop liquide|Ingrédient|170.79|333|SUPPLIER_17|80042.48|0.46|506.6|Oui|Normal|7.46
M273|Super-Beurre en poudre|Ingrédient|388.67|930|SUPPLIER_50|402887.73|0.5|999.8|Non|Élevé|7.82
M265|Super-Beurre en poudre|Produit laitier|495.02|503|SUPPLIER_17|248029.19|0.41|1722.0|Non|Normal|6.45
M155|Eco-Sucre concentré|Ingrédient|323.46|563|SUPPLIER_83|153076.95|0.63|701.1|Non|Normal|4.0
M422|Eco-Arôme liquide|Ingrédient|470.37|244|SUPPLIER_41|131037.93|1.66|345.1|Oui|Faible|11.89
M2s|Ultra-Sirop enrichi|Ingrédient|137.44|371|SUPPLIER_81|39025.82|0.42|827.29|Non|Normal|6.62
M375|Ultra-Chocolat naturel|Ingrédient|396.15|266|SUPPLIER_2|119121.88|1.47|326.3|Oui|Faible|23.53
M1z|Eco-Sel concentré||293.08|477|SUPPLIER_67|207963.37|1.06|746.29|Non|Normal|36.62
M465|Ultra-Sirop concentré|Produit laitier|62.03|150|SUPPLIER_23|9798.26|0.19|582.0|Non|Faible|5.75
M231|Ultra-Chocolat naturel|Produit laitier|415.73|810|SUPPLIER_16|306180.52|0.28|2253.0|Oui|Élevé|7.35
M208|Bio-Sirop concentré|Produit laitier|393.61|682|SUPPLIER_29|246527.62|0.28|2004.0|Non|Normal|4.12
M411|Ultra-Lait naturel|Produit laitier|456.93|125|SUPPLIER_76|76753.85|1.65|540.0|Non|Faible|6.67
M011|Eco-Beurre liquide|Produit laitier|283.33|264|SUPPLIER_42|68733.01|0.54|738.0|Oui|Faible|22.07
M286|Super-Sucre enrichi|Produit laitier|512.94|140|SUPPLIER_58|69152.19|1.76|420.0|Non|Faible|23.7
M303|Super-Sel enrichi|Produit laitier|239.56|1024|SUPPLIER_50|193446.74|0.14|2634.0|Oui|Élevé|10.58
M180|Eco-Lait enrichi|Ingrédient|111.81|539|SUPPLIER_20|70416.73|0.18|714.5|Non|Normal|6.68
M350|Ultra-Fromage liquide|Produit laitier|413.83|489|SUPPLIER_83|226462.69|0.5|1416.0|Oui|Normal|7.76
M457|Ultra-Arôme naturel|Ingrédient|372.16|712|SUPPLIER_66|349121.34|0.47|993.5|Non|Élevé|5.2
M418|Ultra-Sucre concentré|Ingrédient|354.13|709|SUPPLIER_20|344151.13|0.46|1049.5|Oui|Élevé|3.68
M108|Bio-Chocolat en poudre|Ingrédient|448.34|367|SUPPLIER_35|176633.24|1.11|591.1|Non|Normal|4.49
M212|Super-Sel liquide|Produit laitier|146.76|93|SUPPLIER_51|14537.1|0.66|375.0|Non|Faible|11.21
M186|Bio-Arôme concentré|Produit laitier|532.89|831|SUPPLIER_2|446043.09|0.28|2664.0|Oui|Élevé|8.9
M176|Ultra-Chocolat en poudre|Produit laitier|424.88|156|SUPPLIER_15|77519.98|1.07|624.0|Oui|Faible|8.19
M295|Ultra-Beurre concentré|Produit laitier|429.96|419|SUPPLIER_45|142970.82|0.56|1173.0|Non|Normal|6.9
M308|Eco-Sirop enrichi|Produit laitier|289.53|550|SUPPLIER_5|168498.25|0.29|1605.0|Oui|Normal|6.52
M448|Premium-Amidon en poudre|Ingrédient|102.07|784|SUPPLIER_77|99691.5|0.13|974.5|Oui|Élevé|7.85
M396|Super-Sucre enrichi|Ingrédient|181.7|149|SUPPLIER_73|35275.7|1.01|274.1|Non|Faible|9.52
M230|Ultra-Sel en poudre|Ingrédient|49.18|425|SUPPLIER_6|2656.94|0.17|740.89|Non|Normal|86.62
M286|Premium-Sel liquide|Produit laitier|287.6|829|SUPPLIER_10|235997.73|0.17|2484.0|Non|Élevé|10.61
M461|Eco-Beurre concentré|Produit laitier|124.78|743|SUPPLIER_55|102575.56|0.06|2742.0|Non|Élevé|8.89
M332|Bio-Lait liquide|Ingrédient|134.7|376|SUPPLIER_44|52143.67|0.46|399.2|Non|Normal|9.77
M386|Super-Crème en poudre|Ingrédient|366.68|812|SUPPLIER_19|282265.47|0.49|876.2|Oui|Élevé|6.35
M2s|Ultra-Crème en poudre|Ingrédient|127.23|380|SUPPLIER_81|38030.04|0.42|827.29|Non|Normal|6.62
M317|Super-Lait liquide|Produit laitier|132.32|356|SUPPLIER_17|43463.01|0.19|1038.0|Non|Normal|11.49
M036|Premium-Sucre enrichi|Ingrédient|340.57|802|SUPPLIER_10|213745.67|0.51|795.4|Oui|Normal|7.04
M488|Eco-Lait liquide|Produit laitier|380.58|714|SUPPLIER_37|266296.2|0.34|1872.0|Oui|Normal|9.15
M045|Eco-Chocolat naturel|Ingrédient|308.85|216|SUPPLIER_2|75768.75|1.48|255.9|Oui|Faible|24.57
M198|Bio-Amidon concentré|Produit laitier|174.38|647|SUPPLIER_50|113904.22|0.1|2331.0|Non|Élevé|6.21
M287|Ultra-Sirop liquide|Produit laitier|365.97|264|SUPPLIER_40|84537.6|0.73|822.0|Non|Faible|6.01
M158|Eco-Lait en poudre|Ingrédient|231.8|522|SUPPLIER_7|128624.91|0.47|731.9|Oui|Normal|3.89
M495|Bio-Arôme liquide|Produit laitier|172.81|410|SUPPLIER_31|86618.75|0.19|1596.0|Oui|Normal|3.04
M3i|Eco-Fromage en poudre||329.84|365|SUPPLIER_73|1426.12|0.99|743.29|Non|Normal|53.29
M237|Premium-Sel liquide|Ingrédient|92.06|914|SUPPLIER_1|77174.54|0.12|877.4|Oui|Élevé|21.28
M012|Premium-Chocolat liquide||877.85|475|SUPPLIER_83|36473.08|3.07|791.29|Oui|Normal|8.84
M132|Bio-Amidon naturel|Ingrédient|214.04|570|SUPPLIER_69|117757.15|0.4|616.3|Non|Normal|11.88
M120|Ultra-Fromage naturel|Ingrédient|119.28|576|SUPPLIER_61|69967.61|0.16|788.3|Oui|Élevé|21.42
M202|Ultra-Sel en poudre|Produit laitier|422.13|550|SUPPLIER_72|280806.48|0.35|2019.0|Oui|Normal|9.09
M402|Premium-Sel liquide|Ingrédient|270.36|116|SUPPLIER_3|32484.99|2.41|145.9|Non|Faible|28.4
M314|Ultra-Beurre en poudre|Produit laitier|303.21|138|SUPPLIER_14|50015.87|1.08|495.0|Non|Faible|13.23
M185|Bio-Sel naturel|Produit laitier|134.18|533|SUPPLIER_71|67362.02|0.12|1557.0|Oui|Normal|20.97
M086|Ultra-Sirop enrichi|Produit laitier|500.32|135|SUPPLIER_17|58575.58|2.17|495.0|Oui|Faible|6.35
M202|Premium-Beurre concentré|Produit laitier|507.15|701|SUPPLIER_72|333686.23|0.35|2019.0|Oui|Normal|9.09
M094|Bio-Sucre enrichi|Produitn|1020.46|40||169868.52|1.07|2238.67|Non|Critique|1.39
M129|Premium-Sel enrichi|Ingrédient|142.29|223|SUPPLIER_3|30858.52|0.73|273.8|Non|Faible|11.47
M159|Bio-Sucre en poudre||855.67|464||5164.41|3.07|1400.11|Non|Normal|3.53
M460|Bio-Crème en poudre|Produit laitier|132.99|535|SUPPLIER_20|73776.53|0.11|1971.0|Oui|Normal|2.82
M441|Bio-Arôme naturel|Ingrédient|329.18|208|SUPPLIER_56|79854.56|1.45|324.0|Non|Faible|9.17
M187|Ultra-Amidon liquide|Produit laitier|263.11|146|SUPPLIER_13|34600.04|1.08|423.0|Oui|Faible|9.62
M410|Bio-Sel en poudre|Produit laitier|399.41|397|SUPPLIER_8|179373.34|0.57|1161.0|Oui|Normal|21.31
M183|Premium-Lait liquide|Produit laitier|339.41|609|SUPPLIER_48|188292.91|0.31|1716.0|Oui|Normal|10.89
M380|Ultra-Fromage en poudre||248.08|381||40095.82|0.96|716.72|Non|Normal|87.24
M055|Bio-Sirop en poudre|Ingrédient|499.49|445|SUPPLIER_20|190410.81|1.18|524.5|Oui|Normal|5.86
M431|Eco-Lait naturel|Produit laitier|173.09|680|SUPPLIER_41|112053.62|0.16|1854.0|Non|Normal|20.82
M248|Ultra-Arôme concentré|Produit laitier|326.6|422|SUPPLIER_1|162669.16|0.4|1356.0|Oui|Normal|7.81
M190|Bio-Arôme naturel|Produit laitier|83.05|646|SUPPLIER_75|42386.33|0.06|1923.0|Non|Normal|4.15
M418|Super-Chocolat concentré|Produit laitier|326.91|469|SUPPLIER_31|135190.97|0.34|1410.0|Non|Normal|6.11
M378|Premium-Sucre en poudre|Ingrédient|55.07|435|SUPPLIER_29|23367.77|0.12|532.5|Non|Normal|7.85
M238|Super-Beurre enrichi||500.57|14|SUPPLIER_51|6689.77|1.51|744.79|Non|Critique|43.29
M239|Ultra-Arôme naturel|Ingrédient|67.84|519|SUPPLIER_37|35790.72|0.11|705.2|Non|Normal|7.24
M036|Eco-Sirop naturel||1027.33|378||37158.86|3.07|742.69|Non|Normal|58.84
M261|Ultra-Beurre concentré|Ingrédient|354.92|615|SUPPLIER_38|210619.4|0.67|665.7|Oui|Normal|5.86
M011|Eco-Crème concentré|Ingrédient|115.91|362|SUPPLIER_27|51083.43|0.24|613.9|Non|Normal|4.73
M208|Super-Arôme enrichi|Ingrédient|303.77|759|SUPPLIER_53|308859.73|0.35|1031.4|Non|Élevé|21.08
M027|Super-Crème naturel|Produit laitier|179.32|210|SUPPLIER_19|47674.73|0.41|780.0|Oui|Faible|6.13
M225|Ultra-Sucre naturel|Ingrédient|385.87|680|SUPPLIER_68|228739.03|0.54|759.7|Oui|Normal|21.48
M433|Bio-Fromage naturel|Ingrédient|237.65|798|SUPPLIER_50|161584.8|0.35|885.6|Oui|Normal|3.94
M278|Premium-Sucre en poudre|Ingrédient|276.12|538|SUPPLIER_9|170431.55|0.5|738.2|Non|Normal|4.28
M486|Ultra-Sel liquide|Produit laitier|221.1|1182|SUPPLIER_56|195086.75|0.11|3096.0|Oui|Élevé|3.0
M449|Bio-Beurre enrichi|Ingrédient|286.97|144|SUPPLIER_73|46356.24|1.87|214.4|Oui|Faible|13.16
M131|Ultra-Sel concentré|Produit laitier|878.62|36|SUPPLIER_31|1295.06|3.07|964.66|Non|Critique|69.95
M216|Ultra-Chocolat concentré|Ingrédient|193.07|111|SUPPLIER_9|22662.43|1.46|209.2|Oui|Faible|12.2
M497|Premium-Sucre concentré|Ingrédient|135.2|227|SUPPLIER_77|31127.02|0.56|346.3|Non|Faible|7.63
M261|Eco-Sel concentré|Ingrédient|346.62|515|SUPPLIER_38|177501.11|0.67|665.7|Oui|Normal|5.86
M355|Ultra-Arôme en poudre|Produit laitier|392.3|950|SUPPLIER_80|325482.32|0.24|2616.0|Non|Élevé|6.14
M380|Premium-Arôme liquide||224.43|429||33829.29|0.96|716.72|Non|Normal|87.24
M181|Premium-Sirop liquide|Ingrédient|296.43|778|SUPPLIER_23|224758.65|0.38|851.3|Non|Élevé|8.03
M389|Eco-Fromage concentré||401.21|592|SUPPLIER_7|212804.14|7.53|1277.45|Non|Normal|18.43
M274|Ultra-Fromage liquide|Ingrédient|403.0|734|SUPPLIER_5|273539.08|0.58|764.1|Oui|Normal|21.47
M375|Super-Crème enrichi|Produit laitier|384.48|732|SUPPLIER_2|319094.86|0.29|2223.0|Non|Élevé|10.68
M397|Eco-Chocolat liquide|Produit laitier|167.21|593|SUPPLIER_31|121530.21|0.12|2271.0|Oui|Élevé|4.02
M449|Eco-Sel liquide|Ingrédient|202.84|321|SUPPLIER_28|59805.53|0.75|386.7|Oui|Faible|8.37
M384|Bio-Fromage concentré|Produit laitier|217.45|116|SUPPLIER_24|29519.66|0.99|393.0|Oui|Faible|14.13
M314|Premium-Arôme en poudre|Produit laitier|62.76|112|SUPPLIER_58|7570.69|0.21|441.0|Oui|Faible|13.65
M153|Eco-Chocolat en poudre|Ingrég|405.76|512|SUPPLIER_1|3273.61|5.32|1842.67|Non|Normal|12.44
M025|Ultra-Amidon concentré|Produit laitier|442.62|272|SUPPLIER_28|112744.39|0.86|906.0|Oui|Faible|4.41
M356|Ultra-Sirop en poudre|Produit laitier|202.46|189|SUPPLIER_73|33064.16|0.54|564.0|Oui|Faible|8.5
M198|Eco-Sel naturel|Produit laitier|156.85|880|SUPPLIER_50|112594.56|0.1|2331.0|Non|Élevé|6.21
M199|Eco-Arôme en poudre|Produit laitier|355.66|981|SUPPLIER_63|372803.42|0.21|2778.0|Oui|Élevé|4.55
M004|Premium-Beurre liquide||901.94|425|SUPPLIER_32|7694.35|3.07|887.29|Oui|Normal|5.29
M449|Ultra-Sucre naturel|Ingrédient|297.03|171|SUPPLIER_73|42822.02|1.87|214.4|Oui|Faible|13.16
M152|Super-Arôme en poudre|Ingrédient|103.48|511|SUPPLIER_62|59160.75|0.2|672.7|Non|Normal|6.8
M266|Eco-Amidon naturel|Ingrédient|217.7|631|SUPPLIER_24|154944.16|0.35|746.6|Non|Normal|9.88
M322|Eco-Sirop concentré|Produit laitier|139.79|570|SUPPLIER_13|82322.74|0.12|1749.0|Non|Normal|5.89
M291|Super-Crème enrichi|Produit laitier|188.68|634|SUPPLIER_26|125917.35|0.15|2133.0|Non|Normal|3.25
M334|Ultra-Chocolat en poudre|Ingrédient|236.29|862|SUPPLIER_39|178875.68|0.29|913.6|Non|Élevé|6.29
M346|Bio-Crème enrichi|Ingrédient|101.43|521|SUPPLIER_71|46489.96|0.22|582.5|Oui|Normal|7.11
M405|Eco-Chocolat en poudre|Ingrédient|146.05|281|SUPPLIER_58|54572.95|0.47|395.7|Oui|Normal|11.39
