Supplier_Name;Location;Contact_Email;Phone_Number;Environmental_Certifications;Transport_Type;Sustainability_Program
Burch and Sons;Sidi Bouzid;dyertonya@tunisia.com;+216 76 357 728;Agriculture Biologique;Maritime;Non
Freeman, Olson and Moran;Kélibia;jimmysmith@tunisia.com;+216 98 846 572;ISO 14001;Aérien;Non
Copeland, Nelson and Proctor;Monastir;julie99@tunisia.com;+216 59 611 512;Agriculture Biologique;Maritime;Oui
Sawyer-Jensen;Medenine;spruitt@tunisia.com;+216 94 619 604;ISO 14001;Unknown;Non
Kim-Mayo;Monastir;justinbrown@tunisia.com;+216 85 784 220;Agriculture Biologique;Aérien;Oui
Davis Group;Skanes;james81@tunisia.com;+216 69 302 109;ISO 14001;Unknown;Oui
Mccarthy Inc;Kasserine;hannahellison@tunisia.com;+216 96 196 889;Agriculture Biologique;Unknown;Non
Fowler Ltd;Tataouine;idixon@tunisia.com;+216 27 393 462;Aucune;Multimodal;Oui
Hammond PLC;Zaghouan;baileyvirginia@tunisia.com;+216 86 490 779;Agriculture Biologique;Maritime;Non
Thomas Inc;Ben Arous;yateswalter@tunisia.com;+216 93 827 977;Agriculture Biologique;Aérien;Oui
Mccoy-Hernandez;La Marsa;blakecarroll@tunisia.com;+216 45 818 792;Aucune;Camionnage;Non
Sanchez, Collins and Beard;Kélibia;wcook@tunisia.com;+216 23 615 346;ISO 14001;Multimodal;Non
Tran LLC;Zaghouan;amberjones@tunisia.com;+216 29 376 916;ISO 14001;Ferroviaire;Oui
Rodgers, Williams and Smith;Le Kef;ebrown@tunisia.com;+216 72 298 360;Aucune;Ferroviaire;Non
Nelson, Clark and Thomas;Kélibia;nherrera@tunisia.com;+216 65 382 597;Aucune;Aérien;Non
Smith-Walker;Kebili;tammy98@tunisia.com;+216 79 643 992;ISO 14001;Ferroviaire;Non
Wolf Group;Jendouba;singhgeorge@tunisia.com;+216 36 929 655;Agriculture Biologique;Maritime;Oui
Jackson, Harper and Osborne;Djerba;nicolewhite@tunisia.com;+216 93 939 577;Agriculture Biologique;Maritime;Non
Morales-Bell;Skanes;deandarren@tunisia.com;+216 39 219 837;ISO 14001;Aérien;Oui
Mosley-Johnson;Nabeul;lrichardson@tunisia.com;+216 98 860 758;Agriculture Biologique;Maritime;Non
Mclean, Noble and Guerrero;Bizerte;ortizlaura@tunisia.com;+216 82 342 315;Aucune;Ferroviaire;Oui
Contreras, Patterson and Trujillo;Kasserine;andrehughes@tunisia.com;+216 78 362 441;ISO 14001;Unknown;Oui
Jones-Singleton;Skanes;qmorris@tunisia.com;+216 28 415 973;Aucune;Camionnage;Non
Juarez-Ryan;Djerba;tphillips@tunisia.com;+216 94 451 705;Aucune;Ferroviaire;Oui
Watts LLC;Djerba;ocortez@tunisia.com;+216 20 977 235;Aucune;Multimodal;Oui
Wilson Inc;Sousse;gruiz@tunisia.com;+216 53 573 312;Agriculture Biologique;Ferroviaire;Oui
Rodriguez-Wilson;Ariana;joshuaharrell@tunisia.com;+216 81 386 821;Aucune;Ferroviaire;Non
Carpenter, Horn and Fuentes;Tunis;kristyhernandez@tunisia.com;+216 94 703 710;Aucune;Unknown;Oui
Rush Inc;Bizerte;nicholspatrick@tunisia.com;+216 75 706 190;ISO 14001;Unknown;Non
Clark Group;Monastir;aaron13@tunisia.com;+216 54 700 666;ISO 14001;Multimodal;Non
Castro Inc;Le Kef;laurie01@tunisia.com;+216 62 134 733;ISO 14001;Ferroviaire;Non
Allen, Morris and Morgan;Manouba;baileylatasha@tunisia.com;+216 44 437 351;Aucune;Multimodal;Oui
White and Sons;Bizerte;michaelkaiser@tunisia.com;+216 80 900 351;Aucune;Maritime;Oui
Bradford, Porter and Wilson;Nabeul;amandaforbes@tunisia.com;+216 66 195 646;Agriculture Biologique;Unknown;Non
Beasley-Romero;Gafsa;amanda09@tunisia.com;+216 90 580 362;Aucune;Ferroviaire;Oui
Walls-Hamilton;Sousse;aking@tunisia.com;+216 62 279 869;Agriculture Biologique;Aérien;Oui
Berry LLC;Tataouine;tobrien@tunisia.com;+216 37 134 921;ISO 14001;Maritime;Non
Estrada-Holden;La Marsa;tonya47@tunisia.com;+216 66 333 282;Agriculture Biologique;Multimodal;Oui
Brown and Sons;Le Kef;robert20@tunisia.com;+216 88 772 665;Aucune;Maritime;Non
Schroeder, Drake and Yang;Medenine;hannahdominguez@tunisia.com;+216 61 397 896;ISO 14001;Ferroviaire;Oui
Powers and Sons;Siliana;kimberlybenton@tunisia.com;+216 80 576 305;Aucune;Aérien;Oui
Jordan Group;Ben Arous;elizabethmendoza@tunisia.com;+216 82 434 326;Aucune;Maritime;Oui
Cooper-Lee;Zaghouan;lewiskenneth@tunisia.com;+216 37 893 200;Aucune;Multimodal;Non
Benton PLC;Nabeul;alex36@tunisia.com;+216 68 366 766;Aucune;Unknown;Oui
Howe, Mcgee and Wright;La Marsa;lori06@tunisia.com;+216 62 482 891;ISO 14001;Camionnage;Oui
Cole and Sons;Tunis;twheeler@tunisia.com;+216 65 544 700;Aucune;Ferroviaire;Oui
Jenkins Group;Tataouine;rcabrera@tunisia.com;+216 57 706 835;ISO 14001;Camionnage;Non
Bryant, Butler and Francis;Skanes;rberger@tunisia.com;+216 34 149 420;ISO 14001;Camionnage;Non
Martin-Morales;Gafsa;deanbrian@tunisia.com;+216 81 309 731;Agriculture Biologique;Multimodal;Non
Miranda, Benton and Wall;Mahdia;matthewgarcia@tunisia.com;+216 81 457 994;ISO 14001;Ferroviaire;Non
Rogers, Knapp and Cunningham;Sousse;jamesjohn@tunisia.com;+216 68 527 536;Aucune;Aérien;Oui
Smith-Allen;Djerba;kmartin@tunisia.com;+216 84 801 409;Agriculture Biologique;Maritime;Oui
Bailey-Thompson;Zaghouan;merrittdestiny@tunisia.com;+216 98 829 880;Agriculture Biologique;Unknown;Oui
Blackwell-King;Sousse;wmckee@tunisia.com;+216 53 289 246;ISO 14001;Ferroviaire;Non
Jones-Dunn;Nabeul;christina24@tunisia.com;+216 94 884 195;ISO 14001;Camionnage;Non
Cooper Inc;Bizerte;rowlanddavid@tunisia.com;+216 78 275 990;Agriculture Biologique;Multimodal;Oui
Roberts Ltd;Skanes;becklori@tunisia.com;+216 67 859 684;Aucune;Unknown;Oui
Clark-Rose;Tunis;wendy23@tunisia.com;+216 69 287 941;Agriculture Biologique;Camionnage;Oui
Brown-Sanchez;Bizerte;smithashley@tunisia.com;+216 40 634 800;Aucune;Aérien;Oui
Schneider-Moody;Zaghouan;dana63@tunisia.com;+216 72 200 131;Agriculture Biologique;Camionnage;Oui
Phillips Inc;Beja;npowers@tunisia.com;+216 94 653 354;Aucune;Maritime;Non
Burns, Jackson and Thompson;Bizerte;qleonard@tunisia.com;+216 63 679 574;ISO 14001;Multimodal;Non
